model,accuracy,macro_f1,weighted_f1,esi_1_recall
Stratified dummy,0.37541950113378686,0.2038755224413218,0.3745835967006062,0.0
Logistic regression,0.6828117913832199,0.5079362134916414,0.677077820394005,0.25
Decision tree,0.5473015873015873,0.20725428234806692,0.4484586452121411,0.0
