model,accuracy,macro_f1,weighted_f1,esi_1_recall,esi_1_precision,esi_1_caught,esi_1_false_alerts
Stratified dummy,0.37541950113378686,0.2038755224413218,0.3745835967006062,0.0,0.0,0,10
Logistic baseline,0.6828117913832199,0.5079362134916414,0.677077820394005,0.25,0.5,4,4
Tree baseline,0.5473015873015873,0.20725428234806692,0.4484586452121411,0.0,0.0,0,0
Logistic tuned,0.6805442176870748,0.5008793180113627,0.6750925586846982,0.4375,0.23333333333333334,7,23
Tree tuned,0.4969614512471655,0.35566799117504105,0.5099899542159378,0.375,0.024,6,244
