rank_test_macro_f1,mean_test_macro_f1,mean_test_esi_1_recall,mean_fit_time,params
1,0.46283514624093086,0.29285714285714287,30.07687171300252,"{'min_samples_leaf': 10, 'max_leaf_nodes': 63, 'max_iter': 200, 'max_depth': None, 'learning_rate': 0.08, 'l2_regularization': 1.0}"
2,0.43752837073473166,0.25873015873015875,22.812501351038616,"{'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 200, 'max_depth': None, 'learning_rate': 0.05, 'l2_regularization': 0.0}"
3,0.4165462932809425,0.20952380952380953,17.763383865356445,"{'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 300, 'max_depth': 8, 'learning_rate': 0.1, 'l2_regularization': 1.0}"
4,0.39793134449853906,0.4238095238095238,25.30443612734477,"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 300, 'max_depth': 6, 'learning_rate': 0.05, 'l2_regularization': 1.0}"
5,0.3971133036288725,0.03253968253968254,17.700307210286457,"{'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 300, 'max_depth': 8, 'learning_rate': 0.1, 'l2_regularization': 0.1}"
6,0.39480744451479927,0.3238095238095238,23.22170607248942,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 300, 'max_depth': 4, 'learning_rate': 0.08, 'l2_regularization': 1.0}"
7,0.39378914489461375,0.11349206349206349,31.30208404858907,"{'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 300, 'max_depth': 4, 'learning_rate': 0.08, 'l2_regularization': 1.0}"
8,0.3847120787328118,0.30634920634920637,26.554644743601482,"{'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 120, 'max_depth': 4, 'learning_rate': 0.03, 'l2_regularization': 0.1}"
