,importance
cc_breastpain,5.266713622321466e-06
cc_rectalpain,5.074100811801735e-06
cc_ribpain,3.566940894219911e-06
cc_headache,3.1192951561392477e-06
cc_epigastricpain,2.794738894304498e-06
cc_chesttightness,2.711070348614578e-06
cc_jointswelling,2.465497622635628e-06
cc_elbowpain,2.3442076743078283e-06
cc_armswelling,2.3143676847278494e-06
cc_chills,1.7623606602732756e-06
cc_rapidheartrate,1.7492534988279207e-06
cc_lossofconsciousness,1.693728749045194e-06
cc_abdominaldistention,0.0
cc_facialinjury,0.0
cc_urinaryfrequency,0.0
cc_eyeinjury,0.0
cc_extremityweakness,0.0
cc_exposuretostd,0.0
cc_abdominalcramping,0.0
cc_vaginalpain,0.0
cc_bodyfluidexposure,0.0
cc_burn,0.0
cc_breathingproblem,0.0
cc_earproblem,0.0
cc_dehydration,0.0
cc_wristinjury,0.0
cc_faciallaceration,0.0
cc_cellulitis,0.0
cc_cardiacarrest,0.0
cc_panicattack,0.0
cc_tickremoval,0.0
cc_fingerswelling,0.0
cc_toeinjury,0.0
cc_overdose-accidental,0.0
cc_multiplefalls,0.0
cc_rectalbleeding,0.0
cc_motorcyclecrash,0.0
cc_ribinjury,0.0
cc_seizure-newonset,0.0
cc_mass,0.0
cc_seizures,0.0
cc_shoulderinjury,0.0
cc_jawpain,0.0
cc_sinusproblem,0.0
cc_irregularheartbeat,0.0
cc_ingestion,0.0
cc_influenza,0.0
cc_hyperglycemia,0.0
cc_homicidal,0.0
cc_agitation,0.0
cc_addictionproblem,0.0
cc_swallowedforeignbody,0.0
cc_fulltrauma,0.0
cc_foreignbodyineye,0.0
cc_thumbinjury,0.0
cc_pain,0.0
cc_headlaceration,0.0
